Township,Latitude,LatMinutes,Longitude,LonMinutes
ကလေးဝ,23,13,94,18
ကလေးမြို့,23,12,94,5
ကန္နီ,22,27,95,41
ကသာ,24,11,96,21
ကနောင်,18,12,95,23
ကလော,20,8,96,34
ကပ္ပလီ,12,45,92,45
ကော့ဘိန်း,16,33,97,52
ကော့ကရိတ်,16,33,98,14
ကော့သောင်,10,2,98,35
ကော့မူး,16,32,96,6
ကောလင်း,23,47,95,41
ကင်းတပ်,23,44,94,25
ကန်ကြီးဒေါင့်,16,56,94,54
ကုန်းသာ,19,40,95,32
ကန့်ဘလူ,23,13,95,33
ကန်ဘောက်,14,36,98,3
ကွင်းဝိုင်း,16,19,94,15
ကွင်းကောက်,17,46,95,12
ကွမ်းခြံကုန်း,16,26,96,0
ကွမ်းလုံ,23,20,98,40
ကွမ်ခိုင်,23,25,97,53
ကျဝိကျွန်း,18,42,93,39
ကျောင်းကုန်း(ပုသိမ်),17,6,95,12
ကျောင်းကုန်း(ရမည်းသင်း),21,12,96,13
ကျောက်ဆည်,21,37,96,9
ကျောက်ကြီး,18,19,96,46
ကျောက်ဖြူ,19,26,93,32
ကျောက်မြောင်း(ရမည်းသင်း),20,20,95,49
ကျောက်မြောင်း(သရက်),19,32,94,48
ကျောက်တလေး,15,49,94,56
ကျောက်တန်း,16,37,96,22
ကျောက်ထု,21,10,94,12
ကျောက်အိုး,20,37,94,21
ကျောက်တံခါး,18,8,96,39
ကျောက်မဲ,22,32,97,2
ကျောက်တော်,20,51,92,57
ကျောက်ပန်းတောင်း,20,50,95,8
ကျုံဒ,16,15,95,57
ကျုံကဒိုး,16,4,95,36
ကျုံမငေး,16,21,95,8
ကျုံပျော်,17,13,95,11
ကျိုက်ထို,17,18,97,1
ကျိုက္ခမီ,16,24,97,35
ကျိုက်လတ်,16,27,95,48
ကျိုက်မရော,16,23,97,45
ကျိုင်းတုံ,21,17,99,36
ကျွဲပွဲ,18,42,96,25
ကျွန်းလှ,23,22,95,19
ကျွန်းကုန်း,23,41,95,41
ကျွန်းချောင်း,15,33,98,15
ကြံခင်း,18,20,95,14
ကြံညှပ်,23,12,96,1
ကြာအင်းဆိပ်ကြီး,16,3,98,6
ကြည်တောင်ကန်,19,54,96,13
ကြို့ပင်ကောက်,18,45,95,38
ခရမ်း,16,55,96,35
ခဲမဖြူ,18,50,97,19
ခင်ဦး,22,46,95,38
ခတ္တိယ,16,54,95,52
ချောက်,20,53,94,48
ချောင်းဆုံ,16,21,97,32
ချောင်းဦး,21,58,95,16
ဂွ,17,35,94,36
ဂန့်ဂေါ,22,9,94,8
ဂုတ်ထိပ်,22,18,96,54
ငဖဲ,20,5,94,28
ငပုတော,16,31,94,43
ငါးဇွန်,21,51,95,39
ငသိုင်းချောင်း,17,23,95,5
စကု,20,13,94,45
စလင်း,20,35,94,38
စလေ,20,50,94,45
စေတုတ္တရာ,20,25,94,14
စစ်ကိုင်း,22,0,96,0
စစ်တောင်း,17,27,96,55
စစ်တွေ,20,8,92,55
စစ်ကွင်း,22,33,96,0
စဉ့်ကိုင်,21,43,96,5
ဆကာကြီး,17,19,95,36
ဆွာ,19,16,96,18
ဆားတောင်,22,10,95,47
ဆားလင်းကြီး,21,57,95,5
ဆိပ်ခွန်,22,33,95,35
ဆီမီးခုံ,21,43,95,25
ဆည်တော်(မန္တလေး),22,18,96,22
ဆင်ဖြူကျွန်း,20,40,94,42
ဆင်ကလိန်ခန္တီး,26,0,95,42
ဆင်ပေါင်ဝဲ,19,44,95,10
ဆတ်သွား,19,52,95,34
ဆမ်ဆယ်,22,17,96,38
ဇလွန်,17,27,95,33
ဇာသပြင်,16,34,97,45
ဇီးကုန်း,18,21,95,38
ဇင်းကျိုက်,16,43,97,26
ဇေယျဝတီ,18,32,96,26
ညောင်ကန်,22,25,95,4
ညောင်တုန်း,17,3,95,38
ညောင်ရမ်း,20,46,96,2
ညောင်ချေတောက်,18,36,96,24
ညောင်လေးပင်,17,57,96,44
ညောင်လွန်း,20,24,96,12
ညောင်ရွှေ,20,33,96,49
ညောင်ဦး,21,28,94,52
တမူး,24,12,94,19
တကောင်း,23,30,96,3
တာဝ,17,14,96,30
တီးတိန်,23,23,93,35
တံတားဦး,21,48,95,57
တွံတေး,16,42,95,58
တပ်ကုန်း,20,7,96,12
တောင်ကြီး,20,46,97,3
တောင်ဂုတ်,18,51,94,16
တောင်သာ,21,17,95,26
တောင်တွင်းကြီး,20,1,95,32
တောင်ငူ,18,58,96,27
ထားဝယ်,14,3,98,17
ထီးလင်း,21,42,94,5
ထီးချိုင့်,23,45,96,9
ထူးကြီး,17,57,95,15
ထန်းတပင်,17,1,96,0
ထောက်ကြန့်,17,3,96,10
ဒလ,16,44,96,9
ဒီပဲရင်း,22,42,95,19
ဒေးဒရဲ,16,24,95,54
ဒေါ်ညိမ်း,15,54,95,37
ဒွ,20,41,94,10
ဒိုက်ဦး,17,47,96,42
ဒနုဖြူ,17,16,95,35
ဒါးပိန်,17,2,96,22
နွားထိုးကြီး,21,26,95,41
နဘား,24,16,96,12
နတ်မောက်,20,21,95,25
